Site,Catchment,Latitude,Longitude
Aropaoanui River at Aropaoanui,Waikari,-39.27011843,176.978862
Awanui Stream at Flume,Karamu,-39.69084032,176.7984365
Esk River at Berry Road,Esk River,-39.22947177,176.7967625
Esk River at Waipunga Bridge,Esk River,-39.38537015,176.8211593
Hangaroa River at Doneraille Park,Wairoa River,-38.73342979,177.5843398
Herehere Stream at Te Aute Road,Karamu,-39.67220564,176.8662232
Karewarewa Stream at Paki Paki,Karamu,-39.69392764,176.7909171
Kopuawhara Stream at Railway Bridge,Nuhaka,-39.01436379,177.8582504
Mahiaruhe Stream at Tutira Outlet S.H.2,Waikari,-39.21026953,176.885034
Makaretu Stream at State Highway 50,Tukituki River,-40.01543071,176.3230995
Makaroro River at Burnt Bridge,Tukituki River,-39.81876424,176.304052
Mangakuri River at Kairakau,Southern Coast,-39.96488662,176.9060395
Mangaone River at Rissington,Tutaekuri River,-39.44035082,176.7190999
Mangaonuku Stream at Waipawa Tikokino Rd,Tukituki River,-39.90707657,176.5248157
Mangaorapa Stream at Mangaorapa Road,Porangahau River,-40.29450131,176.5558496
Mangapoike River at Suspension Bridge,Wairoa River,-38.89010184,177.5221452
Mangatarata Stream at Mangatarata Road,Tukituki River,-39.99606726,176.6268663
Mangatutu Stream at Mangatutu Stn Br,Tutaekuri River,-39.42641061,176.5537374
Maraekakaho Stream at Maraekakaho,Ngaruroro,-39.6496366,176.6224077
Maraetotara River at Te Awanga,Southern Coast,-39.63926698,176.9881033
Maraetotara River at Waimarama Road,Southern Coast,-39.73267488,176.9530013
Mohaka River at Raupunga,Mohaka River,-39.0729794,177.1292646
Mohaka River D/S Taharua,Mohaka River,-39.08226058,176.3074629
Mohaka River U/S Taharua,Mohaka River,-39.07924863,176.286569
Mokomokonui Stream U/S Waipunga,Mohaka River,-39.04801809,176.5890396
Ngaruroro River at Fernhill,Ngaruroro,-39.58673398,176.7603196
Ngaruroro River at Whanawhana,Ngaruroro,-39.55836444,176.3983666
Ohara Stream at Big Hill Road,Ngaruroro,-39.60051712,176.4310489
Ohiwia Stream at Broughtons Br.,Ngaruroro,-39.58006998,176.7399063
Papanui Stream at Middle Road,Tukituki River,-39.85671442,176.715225
Poporangi Stream at Ohara Stn.,Ngaruroro,-39.58123271,176.4429013
Porangahau River at SH52 Opposite Quarry,Porangahau River,-40.29668083,176.580728
Porangahau Stream at Oruawhara Road,Tukituki River,-40.02406948,176.3710579
Poukawa Stream at Stock Road,Karamu,-39.6976791,176.7938896
Puhokio Stream at Te Apiti Rd,Southern Coast,-39.82585161,176.9811188
Raupare Stream at Ormond Road,Karamu,-39.59927319,176.8411675
Ripia River U/S Mohaka,Mohaka River,-39.20036915,176.5166564
Ruakituri River at Sports Ground,Wairoa River,-38.81571736,177.483151
Sandy Creek U/S Lake Tutira Outlet,Waikari,-39.21046105,176.8894952
Taharua Stream at Wairango Rd,Mohaka River,-38.91521317,176.275345
Taharua Stream at Wrights Twin Culvert,Mohaka River,-38.94786516,176.2851263
Taipo Stream at Church Road,Ahuriri Catchment,-39.51375184,176.8495849
Taurekaitai Stream at Wallingford,Porangahau River,-40.20663027,176.5911213
Te Ngarue Stream D/S Kotomangengi,Waikari,-39.32567385,176.9072529
Tukipo River at State Highway 50,Tukituki River,-39.96589085,176.334203
Tukituki River at Ashcott Bridge S.H. 50,Tukituki River,-39.93527099,176.3507612
Tukituki River at Black Bridge,Tukituki River,-39.60455717,176.9319712
Tukituki River at Red Bridge,Tukituki River,-39.71546643,176.9278956
Tukituki River at Tamumu Br.,Tukituki River,-39.9623314,176.682308
Tukituki River at Waipukurau,Tukituki River,-39.98875426,176.5583502
Tutaekuri River at Brookfields Bridge,Tutaekuri River,-39.56852818,176.8810404
Tutaekuri River at Lawrence Hut,Tutaekuri River,-39.37094017,176.4390002
Tutaekuri River U/S Mangaone,Tutaekuri River,-39.48490387,176.6998482
Tutaekuri Waimate Stm at Chesterhope,Ngaruroro,-39.59709097,176.8630122
Waiarua at S.H.5,Mohaka River,-38.94440478,176.5080337
Waiau River at Otoi,Wairoa River,-38.94791377,177.0616176
Waihua River at Waihua Valley Road,Waihua,-39.04179252,177.2335945
Waikari River at Glenbrook Road,Waikari,-39.14298122,177.0207917
Waikoau River at Waikoau Road,Waikari,-39.21443618,176.8639058
Waingongoro Stream at Waimarama Road,Southern Coast,-39.80105664,176.9791436
Waipawa River at RDS/SH2,Tukituki River,-39.94501708,176.5736378
Waipawa River at State Highway 50,Tukituki River,-39.86225091,176.4455923
Wairoa River at Railway Br.,Wairoa River,-39.00142251,177.3950322
Waitio Stream at Ohiti Road,Ngaruroro,-39.59944637,176.7114057
Ngaruroro River D/S Hawkes Bay Dairies,Ngaruroro,-39.5998513,176.5771153
Clive River U/S Whakatu Rail Bridge,Karamu,-39.59905261,176.8778755
Taharua Stream at Henrys Bridge,Mohaka River,-39.00064055,176.2807588
Taharua Stream at Red Hut Mohaka Confl,Mohaka River,-39.07412669,176.3022408
Kahahakuri Stream U/S Tukituki Confl,Tukituki River,-39.97679366,176.5053579
Mohaka River D/S Waipunga River,Mohaka River,-39.10004509,176.7021602
Mohaka River D/S Ripia River,Mohaka River,-39.20729162,176.516996
